back_end,barycentric_event_time,burst_bandwidth,burst_width,burst_width_err,decl,decl_err,discovery_date,dm,dm_model,filename,filetype,fluence,fluence_err,flux,flux_err,frac_lin_pol,galactic_max_dm,galactic_max_dm_model,group,host_redshift,inst_bandwidth,internal_name,lastmodified,name,num_channels,num_files,photometry_date,photometry_id,public_webpage,ra,ra_err,ref_freq,region_filename,remarks,repeater_of_objid,reporter_name,reports_id,rm,rm_err,sampling_time,scattering_time,scattering_time_err,snr,telescope,telescope_mode,time_received,tns_id,ra_frac,dec_frac,gl_frac,gb_frac
Clear-,,,,,+65:44:24.00,1.15 deg,2019-10-30 07:41:52.756,346.14,3.23,,,,,0.0,0.0,,192.72,NE2001,CHIMEFRB,,400.0,60073678,,FRB 20191030B,16384,,2019-10-30 07:41:52.756,507,https://www.chime-frb.ca/repeaters,02:15:09.600,31 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180916B,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65057,,,0.98304,,,12.67,CHIME,FRB,2020-03-26 17:39:19.000,56405,33.79,65.74,131.9062147996536,4.09442637294746
Clear-,,,,,+65:43:12.00,1.4 deg,2019-10-30 07:33:56.996,346.14,3.23,,,,,0.0,0.0,,198.04,NE2001,CHIMEFRB,,400.0,60073222,,FRB 20191030A,16384,,2019-10-30 07:33:56.996,506,https://www.chime-frb.ca/repeaters,01:59:14.400,36 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180916B,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65056,,,0.98304,,,8.09,CHIME,FRB,2020-03-26 17:39:19.000,56404,29.81,65.72,130.33363283477505,3.6318357041021994
Clear-,,,,,+48:15:36.00,54 arcmin,2019-10-29 19:24:06.307,221.6,1.62,,,,,0.0,0.0,,29.37,NE2001,CHIMEFRB,,400.0,60011290,,FRB 20191029B,16384,,2019-10-29 19:24:06.307,505,https://www.chime-frb.ca/repeaters,13:58:45.600,35 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65055,,,0.98304,,,8.69,CHIME,FRB,2020-03-26 17:39:19.000,56403,209.69,48.26,98.23908315797067,65.64134433703772
Clear-,,,,,+73:38:24.00,1.7333333333333 deg,2019-10-29 09:41:58.676,190.86,3.23,,,,,0.0,0.0,,91.89,NE2001,CHIMEFRB,,400.0,59993356,,FRB 20191029A,16384,,2019-10-29 09:41:58.676,504,https://www.chime-frb.ca/repeaters,04:05:12.000,34 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180814A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65054,,,0.98304,,,12.82,CHIME,FRB,2020-03-26 17:39:19.000,56402,61.3,73.64,136.31430597126445,15.49566916932592
Clear-,,,,,+46:24:00.00,11 arcmin,2019-10-21 14:18:08.617,386.58,1.62,,,,,0.0,0.0,,50.9,NE2001,CHIMEFRB,,400.0,59326425,,FRB 20191021A,16384,,2019-10-21 14:18:08.617,788,https://www.chime-frb.ca,08:19:52.800,4 arcmin,600.0,,Data from the real-time pipeline L4 header,,CHIME/FRB Collaboration,80662,,,0.98304,,,109.04,CHIME,FRB,2020-08-25 03:32:13.000,65593,124.97,46.4,174.36251457377588,33.282284769255796
Clear-,,,,,+48:15:36.00,37 arcmin,2019-10-20 19:48:50.884,221.6,1.62,,,,,0.0,0.0,,29.14,NE2001,CHIMEFRB,,400.0,59240332,,FRB 20191020A,16384,,2019-10-20 19:48:50.884,503,https://www.chime-frb.ca/repeaters,13:45:28.800,25 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65053,,,0.98304,,,22.89,CHIME,FRB,2020-03-26 17:10:00.000,56401,206.37,48.26,102.88706043217931,66.81523203345866
Clear-,,,,,+85:57:36.00,6.0666666666667 deg,2019-10-18 18:33:33.306,302.47,1.62,,,,,0.0,0.0,,49.27,NE2001,CHIMEFRB,,400.0,58983056,,FRB 20191018A,16384,,2019-10-18 18:33:33.306,502,https://www.chime-frb.ca/repeaters,11:59:45.600,32 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190212A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65052,,,0.98304,,,18.12,CHIME,FRB,2020-03-26 17:10:00.000,56400,179.94,85.96000000000001,125.08536336660131,31.040595571578553
Clear-,,,,,+48:15:00.00,44 arcmin,2019-10-13 20:31:26.276,226.45,6.47,,,,,0.0,0.0,,29.73,NE2001,CHIMEFRB,,400.0,57637940,,FRB 20191013A,16384,,2019-10-13 20:31:26.276,501,https://www.chime-frb.ca/repeaters,14:00:38.400,31 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65051,,,0.98304,,,9.74,CHIME,FRB,2020-03-26 17:10:00.000,56399,210.16,48.25,97.61224480059364,65.46603167076567
Clear-,,,,,-54:40:00.00,20 arcmin,2019-10-01 16:55:35.970,506.92,0.04,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20191001A_atrep_79772_FRBCAT.png,Graphics,143.0,15.0,0.0,,,44.0,NE2001,FRBCAT,,336.0,FRB191001,2020-08-12 09:08:23.000,FRB 20191001A,366,1,2019-10-01 16:55:35.970,744,,21:32:00.000,45 arcmin,920.5,,Dedispersed waterfall plot. Frequency time spectrum below and dedispersed time series above.,,Emily Petroff,79772,,,1.7,,,62.0,ASKAP,900MHz,2020-08-12 09:08:22.000,64989,323.0,-54.666666666666664,-17.299050959283647,-44.03868475467016
Clear-,,,,,+59:23:24.00,1.1166666666667 deg,2019-09-29 03:14:35.708,1381.34,3.23,,,,,0.0,0.0,,78.38,NE2001,CHIMEFRB,,400.0,56545002,,FRB 20190929A,16384,,2019-09-29 03:14:35.708,500,https://www.chime-frb.ca/repeaters,19:39:38.400,33 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190417A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65050,,,0.98304,,,11.45,CHIME,FRB,2020-03-26 17:10:00.000,56398,294.91,59.39,92.220387074516,17.910052040753317
Clear-,,,,,+65:07:48.00,1.2166666666667 deg,2019-09-26 20:19:28.748,368.79,6.47,,,,,0.0,0.0,,34.02,NE2001,CHIMEFRB,,400.0,56202568,,FRB 20190926A,16384,,2019-09-26 20:19:28.748,499,https://www.chime-frb.ca/repeaters,12:41:31.200,34 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20181119A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65049,,,0.98304,,,9.31,CHIME,FRB,2020-03-26 17:10:00.000,56397,190.38,65.13,126.47438986559834,51.924545849155095
Clear-,,,,,+46:16:12.00,43 arcmin,2019-09-25 15:54:10.893,307.32,3.23,,,,,0.0,0.0,,53.34,NE2001,CHIMEFRB,,400.0,56023911,,FRB 20190925A,16384,,2019-09-25 15:54:10.893,498,https://www.chime-frb.ca/repeaters,08:08:40.800,32 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190907A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65048,,,0.98304,,,9.98,CHIME,FRB,2020-03-26 17:10:00.000,56396,122.17,46.269999999999996,174.24384566586915,31.347384029091533
